"zipcode","n1","n2","numdep","pp_num","e00100","e00200","e00300","e00600","e01000","e00900","e02100","e03150","e03300","FscheA_28","e19700","FscheA_9","e09600","e05800","e10300","EIC","e01400","e01700","e02500","e18425","e18450","e18500","FscheA_10","e04800","e07100","e07220","e07180","e59720","F1040_57","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2568,5357,1787,1641,140315,108888,3539,1685,2799,2402,-196,236,2,24040,2506,8451,94,15315,14940,237,2801,9961,3804,3617,134,4149,11529,91872,1151,438,14,104,6751,648,19775,726,1211,477,143,180,1,1,122,20,222,5,60,34,18,8,128,16457,312,201,275,2405,2987,93,12,44,19,13,25,4678,4,2,1,37,22279,179,0,61,17,242,1,87,15792,89,14,583,2118,1,605,84,661,83,125,1327,59,33,118,89,21,662,84,622,270,1048,2441,320,968,104,36,691,881,980,861,568,424,220,870,67,495,1719,60,1337,337,263,26,1,416,3,3,4,5,6,75,254,52,28,870,158,909,509,908,451,146,39,25,0,7469,16829,218,308,5972,63,295,1117,17912,19588,37,-2191,15502,15721,-166,-2177,"MACOMB","MI",26,2
48009,9813,17943,5168,6671,1762239,946166,81854,77472,358575,57912,-42,1421,8617,291377,46837,138576,11328,365363,363989,361,26686,50388,22419,67083,806,54845,98920,1499520,9700,535,114,144,188500,17029,183024,21553,60636,4681,483,1064,9,8,321,82,714,2944,3287,1428,165,44,536,55835,1474,894,1241,225387,16538,223,44,4951,417,396,8109,246857,5852,103,5,313,125815,115134,0,88,66,48043,8,359,331477,19106,507,3559,37350,25,3953,1021,15914,754,20049,42027,3488,1571,924,1067,1218,13094,51403,18388,11199,62387,53523,7621,13303,1517,785,12330,10637,16749,10208,26208,78705,8982,10315,1219,16850,16126,1442,16483,4991,6837,582,1572,6367,73,70,69,117,177,1786,7692,1861,4547,254826,9849,263940,23362,16714,8100,3826,612,358,1296,170799,231985,8285,5993,157163,402,6991,96580,889694,975550,486,15454,189958,198243,-5391,15961,"OAKLAND","MI",26,2
48012,173,333,107,101,14621,8983,428,349,1008,395,0,17,35,2163,306,840,34,2026,2004,27,221,665,239,504,11,478,1087,10454,80,3536,480,2526,200933,17765,1615,154,276,83,9,15,0,0,7,2,10,12,18,7,2,1,8,1046,40,22,67,1088,993,1,1,17,3,2,12,1543,24,1,0,2,14090,413,0,21,1,152,0,8,3480,77,3,43,219,0,46,9,99,7,71,222,15,8,8,7,6,82,241,119,57,214,323,45,92,11,5,74,68,109,65,126,301,43,81,8,88,162,8,137,36,39,4,6,33,0,0,0,1,1,11,39,10,15,627,46,652,114,98,52,20,4,3,6,1173,2073,59,39,1273,5,23,382,4248,4609,4,-525,1851,1910,-27,-522,"OAKLAND","MI",26,2
48015,4215,7527,2300,2443,175291,117033,6022,1047,1467,2697,0,156,0,20304,2049,8334,18,23399,21825,1159,2643,10616,3390,4115,93,3801,8487,116080,2405,461,34,544,9785,391,33468,774,694,440,190,210,0,4,184,21,237,9,105,32,17,12,136,22604,290,213,236,1976,1907,112,27,120,17,10,23,2677,6,1,2,58,20181,333,0,166,19,841,3,111,14487,207,15,1000,1788,1,717,84,746,97,308,1607,81,51,167,128,27,900,3,411,291,1209,2656,287,966,110,29,695,831,1091,791,797,793,329,783,66,427,1830,67,980,288,201,34,0,576,5,5,4,3,5,75,469,36,86,1163,181,1218,604,1013,540,133,25,17,-5,2486,18879,81,260,2024,76,241,2275,14917,16863,27,-4423,17272,17353,-121,-4409,"MACOMB","MI",26,2
48017,6434,10813,2597,3503,301145,244718,5625,3544,5349,6886,0,434,112,46702,4352,16146,25,32042,31679,637,5674,18045,7382,7526,231,8331,21378,204839,2147,685,60,249,14656,1083,49598,1390,2467,882,346,410,1,5,330,44,431,11,407,48,35,20,271,37522,646,444,600,3439,5538,222,47,81,35,21,42,5359,9,3,3,98,38790,933,0,193,26,374,4,205,36108,217,27,1597,3850,1,1279,170,1308,178,191,2400,116,77,261,210,42,1581,94,1315,388,2669,4078,570,1714,198,62,1270,1547,1858,1500,969,996,373,1087,135,744,3403,111,1558,617,397,48,1,1087,7,6,7,7,10,133,498,74,43,1187,184,1246,832,1613,860,246,63,41,34,8806,41225,807,586,6223,139,311,2022,25618,27823,65,-7000,38825,39632,-327,-6973,"OAKLAND","MI",26,2
48021,15605,29297,9532,9438,600564,491031,12937,5163,5601,7974,-180,743,35,98999,12030,32911,103,53859,50954,4198,9501,42262,13214,14258,456,15930,42088,365548,5737,2049,215,2165,23487,1715,125384,2675,3487,1558,776,820,2,12,748,87,872,30,420,50,66,46,539,88969,1120,821,957,3043,7599,489,108,115,58,26,65,4585,21,2,8,234,75193,1090,0,592,45,498,9,482,58967,385,50,4248,10163,2,3081,371,3427,371,135,5490,285,180,590,459,96,3532,84,2065,568,4708,8079,947,3541,383,100,2532,3156,3443,3109,1485,2134,642,2390,246,921,5233,205,3274,872,585,97,1,2299,17,16,12,11,16,225,1001,93,51,2285,228,2406,1269,3237,1865,429,91,60,27,11052,62127,898,792,8286,294,1887,2824,29491,34826,103,-20631,56637,57535,-64,-20581,"MACOMB","MI",26,2
48025,7280,14285,4502,4762,1087062,547996,60202,54127,162863,42043,-194,952,5852,189141,35665,80587,5904,214333,215175,280,26527,43560,24188,39648,568,32154,60938,920275,4000,482,100,116,112321,13080,110033,13669,41792,3195,363,806,7,3,241,65,626,2010,2513,946,120,32,433,43648,1246,738,1075,151495,14665,144,27,2448,286,271,4406,166772,3996,70,4,209,84647,74389,0,119,82,25532,5,277,226001,11259,332,2639,28951,17,2717,702,9519,541,10674,28203,2299,1067,662,720,833,9039,35156,13240,6883,36900,38547,5176,10112,1061,550,8732,8184,11604,8260,15993,47758,5299,7425,866,11246,11401,963,12605,3519,4760,402,1194,4422,61,58,50,80,120,1202,4021,1248,2254,114586,5955,118824,14426,10652,5231,2488,436,257,819,124303,161846,5775,4192,114504,295,2479,48832,569431,615849,348,9443,133643,139418,-4129,9774,"OAKLAND","MI",26,2
48026,7480,13764,4072,4497,341508,264072,8982,5237,5653,7240,-89,559,130,53769,6086,19338,256,36076,35195,1327,6252,27337,9310,8269,318,9592,21995,223694,2498,876,56,610,16470,1186,54704,1816,3638,1052,374,459,1,8,330,47,513,59,382,63,41,23,311,43339,732,492,659,7144,6601,217,46,119,43,28,53,9230,89,4,4,107,35208,1656,0,211,36,708,4,240,44172,408,35,1745,5333,2,1548,195,1838,209,279,3269,312,138,321,250,103,2020,1136,1816,560,3679,5101,719,2064,249,79,1522,1873,2306,1773,1267,1766,499,1399,172,953,3589,142,1960,649,535,69,26,1173,9,8,10,10,13,177,618,109,77,3121,323,3274,1146,2064,1023,346,81,52,53,11772,49621,1017,663,8385,159,417,2529,39840,43865,79,-8855,46353,47369,-572,-8821,"MACOMB","MI",26,2
48030,7933,14975,5013,4964,244344,205928,3197,1019,10127,4489,-67,176,0,35274,3888,12274,22,27531,26845,2976,3001,13294,3887,4354,132,4907,14247,137514,2311,833,62,1423,8150,598,63323,905,753,484,339,318,0,3,325,33,416,19,214,21,25,22,223,40487,432,333,331,858,2079,186,55,32,21,9,9,1355,12,1,4,105,31647,348,0,370,37,205,5,188,20166,161,21,1787,3011,1,1613,128,1741,163,130,3133,178,103,304,244,57,1766,2,605,211,1072,3581,358,1666,174,37,1058,1414,1340,1376,574,1065,303,1349,98,344,2754,94,1527,382,204,55,1,1030,11,10,5,4,6,97,473,31,10,594,65,629,518,1436,832,167,28,19,-55,1388,31162,55,244,952,130,477,1538,10161,12290,34,-9574,28029,28084,197,-9553,"OAKLAND","MI",26,2
48033,7401,13087,4244,4479,347696,253876,7679,9645,12769,4384,-151,246,80,63396,12093,21494,358,38340,37552,2246,7044,33726,11611,9186,443,11678,22527,233624,2574,726,128,1047,18652,1951,61872,2424,7089,969,378,446,2,6,336,46,463,16,277,88,39,23,289,41901,718,499,614,6573,6009,209,51,181,44,30,144,11740,14,5,4,119,41715,1206,0,239,30,948,4,246,44631,384,40,2733,10001,2,1630,244,2824,209,552,3708,179,106,305,247,62,1911,245,2196,729,6858,5894,795,2161,241,83,1634,1944,2606,1865,1659,1140,615,1330,152,1252,3828,151,2053,742,624,66,2,992,8,8,9,10,14,172,686,122,133,8837,478,9177,1422,2102,1118,387,75,48,58,14930,43560,1011,900,11741,155,348,5313,53534,59048,73,-10209,39852,40863,241,-10169,"OAKLAND","MI",26,2
