"zipcode","n1","pp_num","n2","numdep","e00100","e00200","e00300","e00600","e00900","e01000","e01400","e01700","e02500","e03300","FscheA_28","e18425","e18450","e18500","FscheA_9","FscheA_10","e19700","e04800","e07100","e07220","e07180","EIC","e59720","e09600","F1040_57","e10300","a11900gt0","p04470","e00400","e00650","e00700","e00800","e01100","e01500","e02400","e03210","e03220","e03230","e03260","e03270","e03240","e03290","e03400","e03500","e04600","e05100","e05200","e06000","e06200","e06300","e07230","e07240","e07300","e07400","e07600","e07150","e08800","e09400","e09700","e09800","e09900","e10700","e10900","e59560","e59700","e11070","e11100","e11300","e11600","e10605","e12000","e12200","e17500","e19800","e19850","e20550","e20600","e20400","e20500","e21040","e90050","e90190","e90210","e90240","e90250","e90280","e90370","e90100","e22370","e24515","e24516","e25350","e25360","e25370","e25380","e25470","e25500","e25820","e25850","e25860","e25940","e25980","e25920","e25960","e26110","e26170","e26190","e26160","e26180","e26100","e26390","e26400","e30400","e30500","e32800","e33000","e53220","e53240","e53280","e53410","e58950","e58990","e62900","e62720","e62730","e62740","p65300","p65400","e68000","e82200","s27860","p27895","e03150","e05800","e02100","e01200","e02000","e90040","e90080","e25800","e26270","e27200","p60100","p61850","e60000","e62100","t27800","e11900","BusinessGrossProfit","BusinessGrossIncome","CarryoverCharity","Total_Federal_Taxes","irs_county_name","state","statefip","suppressed"
48005,2671,1737,5792,1722,149385,116172,4383,2290,3402,3918,3634,13437,4218,1,28113,4039,142,4671,9467,13432,2569,102671,1218,899,30,308,132,68,15268,16080,1527,36464,774,1438,498,164,176,18993,10493,153,24,327,157,144,67,31,7,141,18230,22632,23859,58567,14165,15433,168,15,61,10,14,1048,14122,291,2,1,120,28463,329,2,92,165,272,2,96,16583,150,27,973,2285,1,1056,111,1257,81,132,6417,331,202,107,105,111,1034,2389,924,247,4252,3137,303,1056,95,34,819,910,1111,1054,549,836,192,807,65,455,4116,52,1002,328,281,29,1439,768,19,19,4,4,5,69,354,47,29,970,133,1015,452,986,435,163,37,24,264,16679,-323,21,7706,10151,286,349,8150,60,143,2054,21402,23955,35,-2660,3734,4020,-175,-2632,"MACOMB","MI",26,2
48009,10255,7202,19656,5443,2013784,1112313,99529,117030,71282,442485,35395,62311,27410,11158,329530,77716,841,64870,149135,108655,53685,1813802,10509,1099,191,457,180,12459,422813,434825,38903,342425,36456,82352,4898,566,1000,142716,52385,447,97,1018,6015,5215,3215,328,45,559,66773,464307,612564,143742,232538,59752,437,51,7883,341,423,9457,341838,12180,102,2,698,174782,154253,1,118,375,54315,9,421,409755,27129,626,5077,42052,25,3580,1127,17723,737,23827,73748,7035,3005,826,1130,2409,15187,106377,31465,11063,463401,54031,7969,12419,1485,789,11558,8477,21889,8690,31150,102538,9086,24087,1204,17635,123691,1340,14389,5458,8084,840,24838,9157,93,91,67,116,176,1784,19432,1882,5285,325715,9742,336635,23472,16577,7464,3971,598,350,1494,432267,-2067,1455,184219,243763,11737,7163,170905,385,4090,86460,984549,1069520,475,14947,170015,181752,1617,15572,"OAKLAND","MI",26,2
48012,225,109,368,118,20644,10883,572,514,451,1524,289,785,283,59,2980,575,12,551,1184,1242,409,12179,85,7259,1030,6790,3178,9963,452137,465131,40940,3808,287,362,27,13,19,1338,482,11,2,16,76,56,17,4,1,11,1279,3903,4098,6144,1956,2980,2,1,32,2,2,1194,58337,152,1,0,13,3368,836,5,9,84,237,0,10,5673,165,6,68,321,0,49,10,149,9,108,1092,94,40,11,13,34,189,1210,171,74,1654,425,60,113,13,6,93,84,187,91,196,541,60,190,10,107,461,10,141,34,58,6,365,92,1203,1203,1,1,1,13,139,12,36,12725,77,13239,153,146,64,55,5,3,22,5030,-28,12,1533,3348,89,62,1490,6,15,1010,6956,7876,4,-203,2256,2346,-18,-197,"OAKLAND","MI",26,2
48015,4608,2534,8401,2453,183455,128126,7728,1447,2950,2644,3246,13874,3590,1,23193,4558,101,4198,9468,9771,2116,129895,2530,943,69,1446,686,38,22139,22835,923,48486,835,880,494,217,209,18753,15770,241,26,334,243,190,71,29,10,151,24697,28025,30667,88787,22323,16547,217,31,140,9,11,1233,12034,451,1,1,115,23953,557,11,221,430,876,3,131,15895,261,27,1507,1947,1,1383,98,1401,96,340,9027,513,321,167,157,165,1271,4349,666,300,4124,3975,298,1266,112,30,929,1096,1405,1247,858,861,320,1355,64,457,7610,65,1266,303,239,44,2399,820,65,66,4,3,5,74,726,37,77,1494,188,1563,604,1141,594,148,26,17,294,21171,-407,1,2781,11585,262,326,2900,75,228,2086,17321,19609,28,-5079,2557,2819,-197,-5052,"MACOMB","MI",26,2
48017,6777,3651,12013,3054,323785,265904,6794,4272,7964,7731,7009,22930,7865,156,53425,8278,254,9269,18841,24753,4861,225431,2245,1405,128,713,317,135,33295,34955,2562,86992,1490,2694,978,405,378,34550,25388,408,52,650,807,847,90,62,17,305,44058,47053,48887,164233,36956,35361,417,53,127,18,21,2317,26368,1559,2,1,252,35526,2874,3,197,497,627,4,230,41978,606,53,2498,4443,1,2599,202,3073,176,193,17390,1748,750,265,279,549,2749,16288,2140,377,7879,7512,562,2666,195,59,1978,2325,2271,2719,1045,2618,369,1806,141,674,6160,100,1942,551,426,53,8480,1854,95,95,7,7,9,131,731,69,57,2280,182,2381,842,2038,998,309,62,41,656,35754,-679,-23,7236,53434,1134,641,5735,136,370,4693,37051,43293,64,-9112,36044,37178,-459,-9059,"OAKLAND","MI",26,2
48021,16523,9811,32456,10735,632642,528042,15230,6293,9845,8740,11713,52347,14042,4,108064,15346,504,17534,35609,48489,12676,397464,5884,4192,440,5717,2748,153,53507,56241,4051,184102,2648,3685,1858,885,830,72297,56659,931,108,1256,863,653,112,111,37,598,112565,80374,82344,358089,88688,66533,804,119,150,27,30,5340,39899,1608,2,4,464,106954,1227,54,780,1999,648,10,545,58797,506,89,7164,11075,2,7543,487,8432,369,171,30832,1759,1093,569,533,568,4608,15992,2828,582,10142,11732,958,4271,378,100,3002,3688,3711,4314,1510,3079,645,3134,245,937,7092,195,4028,865,676,116,8668,3141,398,397,12,11,16,223,1231,96,58,2743,231,2887,1294,3741,2077,483,94,62,1145,58214,-1563,-32,12769,37316,723,891,14413,286,1217,6711,44625,54106,104,-22707,6484,7207,-278,-22619,"MACOMB","MI",26,2
48025,7601,5197,15658,4491,1253032,636867,71527,71778,48512,238582,35458,53280,29334,7896,209385,45873,592,37737,88953,67880,36177,1108289,4337,991,172,361,147,7142,251962,260852,29873,220140,21338,49282,3252,426,749,115547,49901,326,76,860,4093,3616,2113,235,32,443,49385,283390,360872,96265,152467,48244,282,30,3794,231,287,5852,235499,8210,69,1,529,117339,100670,0,140,287,29976,6,296,273024,16222,425,3719,29203,17,2290,774,10104,523,12400,49651,4367,1995,586,782,1589,10808,65565,20608,6967,234363,37472,5346,8767,1031,547,8020,6136,15025,6514,18740,64973,5371,14526,851,11631,76323,892,10165,3745,5538,574,14478,6710,92,90,47,79,119,1191,10124,1255,2606,147144,6056,152401,14462,10659,4769,2586,422,248,1046,260848,-1604,989,132473,163243,7909,4757,121784,280,728,48120,640977,690250,336,9654,113592,121502,60,10079,"OAKLAND","MI",26,2
48026,8045,4894,15246,4442,362846,285791,10424,6661,6377,8960,7695,32378,9941,106,58964,9172,347,10745,21562,25528,6390,248451,2612,1795,117,1634,770,218,37306,38892,2788,94207,1967,4144,1238,428,448,51368,32929,440,56,778,669,757,140,72,19,339,49662,53556,56218,164568,40777,38191,419,56,166,24,30,2748,32606,1269,4,2,278,46966,2607,9,205,611,888,5,280,48102,642,63,2849,5787,2,2306,233,2848,204,307,22318,1704,859,320,335,566,3171,14747,2614,558,11940,8508,706,2911,244,76,2171,2456,2721,2824,1329,2865,496,2235,166,958,6352,133,2469,657,604,85,6619,1946,92,91,9,10,12,170,928,106,84,3390,316,3553,1148,2452,1163,373,78,51,700,39557,-803,15,12073,50662,1209,755,10491,154,452,3557,45275,50461,77,-9797,28344,29554,-542,-9734,"MACOMB","MI",26,2
48030,8545,4973,16377,5257,251291,218157,3502,1417,4972,1831,3632,17277,4144,2,34825,4605,149,5365,10855,16378,2762,147992,2348,1701,123,3647,1793,17,18614,19809,1401,81482,842,797,627,383,322,22825,15614,428,40,515,484,325,18,40,17,243,46562,28277,28341,156981,36389,25664,389,64,41,7,7,2157,11507,907,0,2,174,35864,483,52,466,986,163,5,240,20947,188,31,2647,2435,1,2800,151,2619,158,17,15569,960,597,293,270,302,2123,9545,805,157,1831,4726,330,1989,163,33,1303,1732,1425,2042,503,1155,277,1580,92,240,1912,82,1863,276,186,63,4911,1284,119,118,4,3,5,86,504,23,12,668,35,709,454,1573,908,176,26,17,457,20583,-705,-66,230,22194,232,256,100,125,398,1409,6610,8695,31,-10845,6625,6857,-190,-10814,"OAKLAND","MI",26,2
48033,8275,4783,14972,4970,382338,293155,8619,9056,4560,11697,9053,41953,12943,160,72073,10167,477,13080,25068,26061,12136,260496,2654,1482,252,2770,1327,481,42256,43950,4564,102573,2668,5772,1175,452,439,65116,32491,442,58,708,584,711,172,71,20,330,50659,56586,61312,162825,43212,36669,395,56,259,26,32,2644,35582,1089,5,2,281,51003,3764,30,282,976,1443,5,290,52802,929,68,4021,10625,2,3466,299,5076,211,744,19501,1629,782,317,318,552,3105,14901,3175,658,18211,8889,782,2958,247,82,2245,2477,2976,2855,1665,3250,584,2219,170,1125,7654,144,2479,673,669,88,4895,1657,256,253,9,10,14,179,1146,123,147,7723,426,8031,1396,2587,1260,428,76,48,676,45651,-755,48,13338,46000,1165,833,11586,157,322,7128,64426,72851,74,-11687,26499,27664,-78,-11619,"OAKLAND","MI",26,2
